,album_id,avg_r,avg_g,avg_b,dm_r,dm_g,dm_b,edge_c,face,h_mean,s_mean,v_mean,colorfulness
0,6Ie6D0KslXxrbkOAr5sbyX,30.027497558593787,22.76372314453123,27.679602050781263,6.589462350133843,10.792528892392413,16.857247864467066,0.0430712890625,1,0.5490045336504888,0.44643224379595586,0.16584435317095586,132.55739383812
1,5rzxGeVyCV74SvV5hjLRAU,194.4507470703126,170.46778808593731,172.27555908203126,235.85012671966834,231.3808318775415,232.59789526799898,0.05744873046875,1,0.562612973005412,0.2036171396292892,0.7782027803308823,167.69949917398267
2,2gGMD56Y8DAvIzpoYfA014,200.221484375,67.79272705078121,20.506982421875,176.38448630486883,41.778857550122936,17.94806638835011,0.02315185546875,0,0.04395604650401536,0.8937758406096814,0.7852789139093137,95.0317655185595
3,1DKIWe0KC9j4psJ7pi7CDu,102.53048828124986,102.41433837890625,103.65164306640625,4.013035667645795,4.776447842842089,6.570308383602168,0.02787109375,0,0.5192217233327514,0.3021192363664216,0.41208961397058824,173.36386919001413
4,1RvBgv4IVYWLTjrD5Pwswt,95.98821533203122,22.99704833984378,18.210815429687504,33.59807405585554,11.11066145009478,8.903478582558883,0.0355419921875,0,0.2292882687019902,0.8005249789368872,0.3851726313572304,134.6466462336442
5,0jgtY27DegnKHYZKR2ZP85,84.4541015625001,87.7755346679686,88.3214404296875,88.11884775883503,112.29447876409225,120.80945038214068,0.00678466796875,0,0.3390382086897696,0.2927324505974265,0.4034208314185049,138.22930792286402
6,18PYzr8erZvttOU0Sxzypo,206.80845214843757,197.15161865234361,190.26914062500012,198.67350696780278,186.85119846228199,179.34403459874622,0.0604150390625,1,0.06217514293819832,0.0920365540747549,0.8110860523897059,68.07682401525946
7,5hnR44LixDTpeMgKdn0Yo5,251.2735058593753,178.18270019531258,157.10619384765624,251.43499289100927,179.19611890753623,157.17698709673553,0.00580322265625,0,0.09465494337028632,0.37644758157169117,0.9854332490808823,71.36962292744452
8,2c8vURxg70zOZTxyQFSCOS,207.38878662109408,137.28353759765616,158.19272705078123,209.25240531499284,113.84615822780131,121.34446492746964,0.0207470703125,0,0.6572185563241969,0.3612730928308824,0.8186861021752451,91.02917177695483
9,18YTWlfaAMO3Lr49bfudoA,68.61135498046876,70.57475830078133,67.64928710937502,77.42673088990655,80.21947101602538,76.13749610642621,0.10415771484375,0,0.20146882637918995,0.04776758769914216,0.27681489353553923,176.89229140537404
10,08FuW6Ze2LksgpPpjRqJTd,43.115026855468756,42.577087402343736,42.58064208984374,0.5430138074370419,0.4814212662837747,0.4790664083294871,0.03294921875,0,0.002391432437150838,0.005074132582720588,0.16908977673100492,49.427000022991464
11,3CHtm02RZNEPICeuXbnnyK,41.58037597656249,46.24579589843751,55.505725097656274,13.108648094909253,12.06666666667303,15.926446581424962,0.03819091796875,0,0.7116165382768854,0.33210723996629904,0.22709348192401962,152.85599349474438
12,10BIzys0QO4l9UQGay0iRI,41.16422320015816,43.51782288370258,46.92646113528483,15.367842570592313,17.269105724763374,20.242880323111713,0.033128955696202535,0,0.591149516476911,0.2200810917721519,0.18493782382414992,166.2461621926377
13,6Z8HL0drVRDIGrqIrSM1Ad,87.6905004882812,169.64192871093755,194.08786376953122,97.67305848992915,166.03523074465681,196.2629750184755,0.02153076171875,1,0.5354408170391062,0.5834001225490196,0.766133540134804,138.0032986041246
14,55Ilh8wUD9n4AJ90bQWpQ1,117.66069580078127,77.99822753906253,41.889541015625014,148.0365419299158,79.24099070996614,34.11479259066483,0.0551953125,0,0.13520211843138966,0.6070160558363971,0.4653498008578431,109.85592930376367
15,4SXh7aKZY1UzzTqdRc21fa,116.10521240234371,96.0116259765626,64.60668457031245,58.40603921262815,41.53084993414357,16.248048219331842,0.087861328125,1,0.12013516388791899,0.5550320350796568,0.4556596296721814,60.34026812268422
16,4CZVGlURM8vncG4ftZULTS,0.5649609375000002,0.5649609375000002,2.5522314453124997,0.030312008737186646,0.030312008737186646,2.022613409862593,0.00219970703125,0,0.6661258292597765,0.9923586090686274,0.010008750765931372,6.576230102379139
17,1wvEC2yY7koRQYebhrj1ZY,158.41090023847377,132.6092781200317,137.09065977742432,206.1624256163369,190.02639557946776,194.5521960895272,0.05378328696343402,1,0.5692243524127151,0.31085834969918014,0.6594185058761184,117.5489954208003
18,0cYEB8Ect5E84EeDxucyEK,89.76843505859378,162.70803222656258,249.86515136718768,85.58539603960541,162.94924825815897,250.12450495049526,0.004853515625,0,0.5956857896517108,0.6508576995251225,0.9811762312346813,137.89658145039905
19,5ai9kiJf84B0xsdyRjp8pa,24.78349121093749,98.13442626953115,121.22802001953114,2.3314882886082486,74.21931709938202,96.25223176123737,0.02285888671875,0,0.5430973943784916,0.8809422200520833,0.4754040000765931,103.54060690223272
20,5g6LHjMy0Rf2n0tSrLIPkU,81.11973632812489,74.54768798828118,80.91639404296875,29.92386536018359,35.25126481080381,40.19189045138158,0.132236328125,1,0.5109044932786313,0.2934830633425245,0.3689905694699755,152.92594490880694
21,70SDuPGTBT5d63bgstg5jr,14.397351074218747,15.159643554687491,17.565847167968748,8.401531804189387,7.839319847080602,8.5354067112617,0.01214111328125,0,0.1215817448280377,0.05952739162071078,0.06898642386642156,48.48872500223161
22,7fzZOkuN2skATOGNRRFsIW,190.7545996093751,189.3155175781251,186.213564453125,242.4907811525608,243.3705600585953,242.3089377789325,0.06659912109375,1,0.21868361830045388,0.1142749214920343,0.7769271599264705,159.26016209819124
23,2WWPQxXjv4EhA4eEg9y9C0,133.3596948242189,126.13697265625001,126.27067382812497,52.193604901300446,49.25582443702943,50.806646107799196,0.04225341796875,1,0.3218119053334497,0.08139578546262255,0.531917844286152,92.06972192513216
24,716PfjuMoJzNMvydwPKTGV,208.20374755859376,188.78845947265629,220.85357177734394,242.44913057861027,211.34003014484108,247.94230510012449,0.0454833984375,0,0.6160863439464037,0.20904254748774512,0.8665301393995098,133.17741598156806
25,4HTVABUq8amDUxBv3zJbX4,150.49721435546874,120.5751538085937,115.67697753906239,70.05126888446947,32.90952719176909,31.06464880122863,0.0620751953125,1,0.15376027027321928,0.3644792719822304,0.5904207356770833,82.12946867628582
26,06SddgnxumQW8eVw2lcn9S,150.07714355468755,142.52269775390607,142.15732421875026,223.86727682425735,234.4229393273631,243.97694383402353,0.07134521484375,0,0.290624781773743,0.28517621208639704,0.6417642558976716,165.49578926920526
27,7z9bNKljyF4BCVf6srNhN0,58.36479248046868,55.4503540039063,51.01068603515625,48.56857419878505,48.05430680372521,47.78476146291846,0.0293310546875,0,0.05264467036923883,0.05591100834865196,0.23023440372242648,57.1312178952582
28,1R4ui8n4qEd9400avJNIpv,146.74244140625007,131.1004296874999,121.71145751953122,227.50475294117774,214.49851428573004,196.7098621848516,0.20939697265625,0,0.31897470484898743,0.2508866038602941,0.5790265012254902,75.49632674117737
29,2KLvspqf3wCTnHd6rGwtuV,42.283112792968765,17.79600097656251,19.52625244140626,1.1127222082899166,0.5168753129597263,0.5572483725460842,0.02626220703125,0,0.14802222907210194,0.15876880361519607,0.16669387637867647,80.02048221338117
30,4Bb9MIwmwXZzxtSzfBM2aT,131.51127929687505,83.6747680664063,56.482734374999986,43.541508195869184,36.112036640252384,32.905888418689386,0.06491455078125,1,0.2076187014446578,0.5009754806219363,0.5167115693933824,90.06074746300288
31,2qhlFdhMEqU3qtQHmHiXxo,102.93470458984385,48.05812988281249,73.00356689453132,45.79699763959562,23.51105058111963,27.979544582126422,0.0777392578125,0,0.6416456442039106,0.5768221411611519,0.4496295955882353,114.11656009326013
32,3W2rEBPIwXyogofa5b4e6x,173.44552937697182,14.594023560725557,38.04288988564665,220.03279338268896,0.7755195588608021,35.91215578149129,0.027309246845425867,1,0.8053545563990272,0.7948247587678605,0.689194965052267,145.38449572002443
33,6c1b7pIkqXWuE5HqGOXj7p,85.61269042968745,44.19883789062503,51.03070312500004,95.0580157220477,3.2275387894437984,75.74647170718367,0.0124609375,0,0.6211877100427724,0.8943646695006128,0.3936959156709559,108.47868823073142
34,63YiJ6IIvvEhxJ8uydvYFE,163.43132324218752,145.79472900390633,87.40253173828121,94.96360207265961,66.18570331415727,17.5832806742428,0.04804931640625,0,0.1554789384383729,0.5563890452665441,0.6465283203125001,145.51103432885725
35,0215X8WQ3ZOnfbt5Djz9xG,175.8793408203126,153.70549804687496,173.63961181640622,219.57964515414238,211.61285429141796,220.62447105786276,0.1278125,1,0.601688771167947,0.32407489851409316,0.7689503963694854,160.0928053524301
36,2MR4m2OTRg9a0SB1d0SWgl,110.41045410156246,93.7482666015625,89.38894042968742,21.545084193405856,20.54478488846398,20.122432351503534,0.0972705078125,0,0.3513692197320182,0.25292193244485295,0.43906337124693623,159.11628371222022
37,4pGwe5BW8GVtIP8ruoa1jB,229.21501068376057,203.40788728632495,174.4604460470087,247.40324755069815,247.57991976641887,243.80058947141217,0.029975961538461538,0,0.31481752554552833,0.27397346866096867,0.910524593598123,161.8062324302225
38,2YMwfMYTxgQiBMI6wXdoMD,110.06377840909099,103.62640331112841,101.51250244905948,178.79081649347074,197.6361822087914,203.25176941447683,0.07006024686520376,0,0.2426565017469046,0.3137088461952179,0.5040989861853833,161.22882028288026
39,5KOu62BJwwCJTfyyAaEbZk,222.6386010742186,181.6816918945313,153.3631567382811,247.04276556775872,216.4125961538387,187.4496291209038,0.01547607421875,0,0.07775063285614525,0.32093888825061273,0.8731575999540442,50.91840085561819
40,0iSDto0c8PqIKtwrYS4lbh,149.31544921874988,149.71854248046859,159.79121582031257,225.69154630947665,220.38402554319572,224.62271944924137,0.1252685546875,1,0.4670614606974511,0.2960781632965686,0.6664180836397059,177.05330830517076
41,74OF6f8hif6ZNLAh1JxRvF,83.13761962890626,48.45437011718755,35.692841796874994,42.93741540870165,20.3819736992398,25.2370356780553,0.0268310546875,1,0.42768842473376395,0.6420107421875,0.34076596009497545,125.2551035370436
42,2acVeWbRPK55sUP4AOyzaD,193.68590576171874,22.28413818359378,29.705466308593735,236.76504595000924,26.97299208529061,36.03940429672828,0.02792724609375,0,0.8384887695312501,0.8053564165900736,0.7602402726715687,130.4639633395573
43,7mQ3FBLNoqHRf8HkY2YVYc,108.78516845703112,114.64141113281237,130.30936279296873,74.83225338266297,65.69499585690494,75.51154149021184,0.0825537109375,1,0.5244787802243366,0.3686810853247549,0.5803564836090687,168.4323332476103
44,4RvfXzwyyTmAGfjW4WFAsE,126.77307861328134,114.50510742187501,82.59294921875002,239.3959156388006,140.5074328359796,60.75772187549781,0.0695263671875,1,0.24155555767719974,0.6995730028339461,0.6798558038449756,116.16955798442078
45,40ncJvz2FvF1Z4EvpE3vU9,134.50833007812508,121.29427978515614,113.7822973632813,56.84663292179114,56.67457233399692,60.03423717958659,0.025283203125,0,0.3272353733851257,0.2240000861672794,0.543809752221201,155.84008978961506
46,04QYg0Crlk7ZQDEtUuR6zi,109.97240234375013,107.58607421874993,79.4757299804688,21.15186393355421,32.17142380546977,13.249527375144766,0.1047998046875,1,0.24727555429469275,0.43882034122242647,0.4611800896139706,162.9090467643764
47,0F6xIF7XdL5Mbot8f7zIA3,68.48727783203131,67.40611816406246,63.67517822265626,13.76286243806878,17.332507037511277,17.41211153592443,0.22698974609375,0,0.42985743005848465,0.6220420783547794,0.3514455327052696,145.29523095279268
48,47HubZx2eFOxGVMBk1DcqP,81.09870605468753,42.86675537109376,42.752048339843746,43.63897332918548,40.91640929256631,40.81317593271506,0.01618408203125,1,0.3042759252793296,0.26388596239276957,0.3184250344669118,81.58169236657004
49,6s5y6VhzdAA9GUdsAqoU0h,23.113762207031254,20.196120605468767,20.01553955078125,9.422074361132958,7.563898208334983,7.471091625434267,0.02924560546875,1,0.08408983283868715,0.10828344247855393,0.09080381625306373,38.83755839854506
50,24gv56TY2YGQlk0WGYSeRU,181.89022705078125,208.45215332031256,162.9635766601563,159.59867823094953,201.08205700914942,163.44396743440146,0.04641357421875,0,0.2855849145644204,0.2499068244485294,0.8199019607843137,140.11989291210398
51,4oQhDQDKMeI6IMlwpXt3j8,56.167773437499974,33.43444824218749,21.408632812499974,0.9464488790156338,0.9014337160186301,1.7387902090133451,0.0142431640625,0,0.2089202573978701,0.4719566482843138,0.25472154564950983,107.68926727038752
52,2fuU8N37U7JcgJwqOy0meq,100.53695068359374,42.36179443359379,64.21116943359378,26.680885942342087,12.492693375371225,32.711036241050714,0.06098876953125,1,0.7127619669823673,0.7408953450520833,0.4412612783394608,138.94953179174203
53,0FQmLebvYxK7seqvm32JKA,123.66171386718759,117.13739746093741,88.52780517578121,206.15169124332385,155.08676416057182,120.15079215917072,0.13202880859375,1,0.2295772821010824,0.5381072399662991,0.5785209195006128,127.434061361702
54,45XvVcVhg3KCd5FTejzR1Z,82.79539550781257,82.97174804687508,91.08851562499993,42.67687208628579,39.89221799430359,45.76727982269851,0.08107177734375,0,0.6424898933964734,0.1721736940870098,0.37505598000919116,125.55403747713694
55,1uuGNc2B7c5tEfCuIy3dDT,11.810522460937495,12.881552734374997,13.744548339843766,1.3745213396828202,1.4504780632336125,1.8798565942927254,0.0408984375,0,0.12604054371071927,0.10800367647058823,0.05477488319546568,94.43417771787861
56,1WqRiGdw8QFI9yMVqDCEQF,140.52536621093748,124.26027099609385,110.31878417968744,90.57493248870315,124.82203407037412,115.30557349089187,0.03149169921875,1,0.27087392796351256,0.3876128216911765,0.6339973862591911,133.71842189545637
57,5XyJzEROSmup2TcWmVjTIt,148.7771850585936,117.04712646484379,78.21804443359375,56.443284977839426,31.245797408856106,15.847378084946051,0.076806640625,1,0.15303350864175977,0.5314157379748774,0.5836377048866422,67.46481893559132
58,2Wx86xQJI91GtLPsanraom,178.4882999999998,174.9200527777776,166.0013805555555,226.71946208441543,214.9003548748632,180.87047067612565,0.063075,0,0.3057475325884544,0.275093954248366,0.7756410130718954,143.6060778786306
59,5Hk4dywt6etWsbRZo2X7D3,111.73576660156246,110.19985351562502,109.90667968750002,49.779013491824486,54.379589355460396,52.38178536586405,0.1621728515625,0,0.44403159370635475,0.12342316750919118,0.46493112362132355,174.4466179317272
60,4pMsuhPZP44rMBrgDQKGFL,7.538549804687501,12.184482421875002,18.382778320312525,2.5851718020472916,2.772994917220892,3.328227886678187,0.05952880859375,0,0.1581812614568785,0.2705887331495098,0.09097476256127451,103.32362502882431
61,5sgIO00FPm0pYYlm1WvcHM,203.80047119140642,197.5722192382811,190.419228515625,222.86537388044465,215.88868569048591,207.90696104978838,0.0145166015625,1,0.09186101988041201,0.07434953278186275,0.7992617091758578,58.18392650425338
62,2FxN4LTroUxE9Yw3lAadi4,82.86068359375005,75.47951660156251,76.5251220703125,25.72743696834059,25.728614583381543,25.725264597701475,0.0438330078125,0,0.11198607716480447,0.038231033624387255,0.3273757755055147,90.77091710542749
63,3X1Ljgkvf2cLwi8mMjhvKy,180.73802246093732,43.36726318359381,165.64916015624982,247.14445017101008,18.863822865985625,221.16064149509083,0.04327392578125,0,0.766872572232891,0.8886740291819853,0.9128011163449755,166.94109684052626
64,7MnZ0niFxkTVJkEX9pakbM,67.65761474609367,59.180161132812465,64.1581518554688,36.15874383799385,30.98010476591865,40.73022294110646,0.02414794921875,0,0.5793206071054469,0.3222287549785539,0.291745969286152,163.20195147096288
65,3QLB5s0MY7ERTwh4GpNMkf,129.53456787109383,107.68272460937501,105.8722607421876,131.05939596107638,108.48902074658965,105.1004991660584,0.03836181640625,1,0.35606126156599166,0.2465839652267157,0.5148624291513481,112.82598503957327
66,5SPyiETmg8GK0TUovjWhU7,111.10463623046874,113.53119384765628,106.18078613281257,18.467611307158123,21.03829071677542,18.259019290237077,0.16420166015625,0,0.21277930233065642,0.19306355315563725,0.44669947725183823,184.27156660941137
67,6NAr5nLxOClccDdjfJOcxS,242.28568847656229,238.34323486328122,237.3732543945314,250.57546995661735,246.6242295582902,245.6347157698318,0.02979736328125,0,0.04808957915066341,0.030606588924632354,0.9501399835324754,58.82035069188693
68,7uegvn13FZi0wlOQBcObza,96.22686279296886,53.38870361328124,72.2051928710938,92.30547385034619,52.09763373747586,79.09076452160211,0.029541015625,1,0.7962641847067039,0.446356751685049,0.40453612323835786,133.9610286090856
69,3DrgM5X3yX1JP1liNLAOHI,131.88370117187517,117.95707275390632,103.53252441406255,138.84112429761294,106.4688371423597,91.33378709827946,0.2055615234375,0,0.2872952355752444,0.28345394837622545,0.5407360313265931,154.60576316440248
70,49zipOniZB3ejG4RlxWW1W,137.5181640625,70.49831787109372,111.93023193359386,194.64199652267837,12.923127370353349,47.49183028137834,0.023818359375,0,0.7851266803421787,0.7946357230392157,0.7391103802849265,116.41534964213778
71,5zUDvKAyEKkrhYLWJJWGPQ,141.70913574218733,119.00670166015615,96.20377685546872,150.6759036216626,122.18055098954414,91.58405609119126,0.1563671875,1,0.18062249039804468,0.36909278301164217,0.5710670381433823,114.66075380986236
